invoice_no,po_no,sku,qty_billed,qty_ordered,qty_received,unit_price_invoice,unit_price_po,line_flag,notes
INV-941,PO-2025-100,ITEM-PAPER,3,6,6,75000,75000,OK,Khớp PO và GRN
INV-886,PO-2025-114,ITEM-KEYB,2,6,6,220000,220000,OK,Khớp PO và GRN
INV-886,PO-2025-114,ITEM-ROUTER,10,14,14,950000,950000,OK,Khớp PO và GRN
INV-876,PO-2025-100,ITEM-PAPER,1,6,6,75000,75000,OK,Khớp PO và GRN
INV-944,PO-2025-112,ITEM-MOUSE,6,15,15,120000,120000,OK,Khớp PO và GRN
INV-937,PO-2025-102,ITEM-SWITCH8,19,18,18,650000,650000,QTY_VARIANCE,ITEM-ITEM-SWITCH8 billed 19 > received 18
INV-937,PO-2025-102,ITEM-ROUTER,2,7,7,950000,950000,OK,Khớp PO và GRN
INV-774,PO-2025-118,ITEM-PAPER,12,17,17,75000,75000,OK,Khớp PO và GRN
INV-980,PO-2025-104,ITEM-PAPER,9,14,14,82500,75000,PRICE_VARIANCE,ITEM-ITEM-PAPER đơn giá hóa đơn > PO 10.00%
INV-980,PO-2025-104,ITEM-SWITCH8,4,9,9,650000,650000,OK,Khớp PO và GRN
INV-980,PO-2025-104,ITEM-INK,5,8,5,180000,180000,OK,Khớp PO và GRN
INV-956,PO-2025-106,ITEM-MOUSE,9,11,11,120000,120000,OK,Khớp PO và GRN
INV-731,PO-2025-113,ITEM-PAPER,6,7,7,75000,75000,OK,Khớp PO và GRN
INV-956,PO-2025-118,ITEM-PAPER,1,17,17,75000,75000,OK,Khớp PO và GRN
INV-702,PO-2025-114,ITEM-ROUTER,8,14,14,950000,950000,OK,Khớp PO và GRN
INV-984,PO-2025-119,ITEM-SWITCH8,18,19,19,650000,650000,OK,Khớp PO và GRN
INV-986,PO-2025-115,ITEM-INK,1,5,3,180000,180000,DUPLICATE,Trùng lặp dòng (sku: ITEM-INK) trong cùng hóa đơn INV-986
INV-987,PO-2025-116,ITEM-MOUSE,15,20,20,120000,120000,OK,Khớp PO và GRN
INV-987,PO-2025-116,ITEM-SWITCH8,4,8,8,650000,650000,OK,Khớp PO và GRN
INV-960,PO-2025-108,ITEM-SWITCH8,4,12,12,650000,650000,OK,Khớp PO và GRN
INV-986,PO-2025-116,ITEM-MOUSE,5,20,20,120000,120000,OK,Khớp PO và GRN
INV-986,PO-2025-116,ITEM-SWITCH8,6,8,8,650000,650000,OK,Khớp PO và GRN
INV-919,PO-2025-102,ITEM-SWITCH8,4,18,18,650000,650000,OK,Khớp PO và GRN
INV-887,PO-2025-104,ITEM-PAPER,8,14,14,75000,75000,OK,Khớp PO và GRN
INV-887,PO-2025-104,ITEM-INK,7,8,5,180000,180000,QTY_VARIANCE,ITEM-ITEM-INK billed 7 > received 5
INV-887,PO-2025-104,ITEM-SWITCH8,4,9,9,650000,650000,OK,Khớp PO và GRN
INV-920,PO-2025-105,ITEM-ROUTER,6,8,8,950000,950000,OK,Khớp PO và GRN
INV-920,PO-2025-105,ITEM-SWITCH8,1,16,16,650000,650000,OK,Khớp PO và GRN
INV-920,PO-2025-105,ITEM-KEYB,6,7,9,220000,220000,OK,Khớp PO và GRN
INV-869,PO-2025-100,ITEM-PAPER,1,6,6,75000,75000,OK,Khớp PO và GRN
INV-753,PO-2025-103,ITEM-KEYB,13,12,12,220000,220000,QTY_VARIANCE,ITEM-ITEM-KEYB billed 13 > received 12
INV-916,PO-2025-108,ITEM-SWITCH8,5,12,12,650000,650000,OK,Khớp PO và GRN
INV-974,PO-2025-112,ITEM-MOUSE,6,15,15,120000,120000,OK,Khớp PO và GRN
INV-729,PO-2025-102,ITEM-ROUTER,1,7,7,950000,950000,OK,Khớp PO và GRN
INV-729,PO-2025-102,ITEM-SWITCH8,19,18,18,650000,650000,QTY_VARIANCE,ITEM-ITEM-SWITCH8 billed 19 > received 18
INV-813,PO-2025-108,ITEM-SWITCH8,1,12,12,650000,650000,OK,Khớp PO và GRN
INV-837,PO-2025-110,ITEM-ROUTER,4,18,18,1045000,950000,PRICE_VARIANCE,ITEM-ITEM-ROUTER đơn giá hóa đơn > PO 10.00%
INV-725,PO-2025-105,ITEM-ROUTER,5,8,8,950000,950000,OK,Khớp PO và GRN
INV-725,PO-2025-105,ITEM-KEYB,4,7,9,220000,220000,OK,Khớp PO và GRN
INV-838,PO-2025-116,ITEM-SWITCH8,1,8,8,650000,650000,OK,Khớp PO và GRN
INV-958,PO-2025-100,ITEM-PAPER,2,6,6,75000,75000,OK,Khớp PO và GRN
INV-921,PO-2025-114,ITEM-KEYB,4,6,6,220000,220000,OK,Khớp PO và GRN
INV-810,PO-2025-116,ITEM-MOUSE,5,20,20,120000,120000,OK,Khớp PO và GRN
INV-810,PO-2025-116,ITEM-SWITCH8,1,8,8,650000,650000,OK,Khớp PO và GRN
INV-736,PO-2025-104,ITEM-SWITCH8,3,9,9,650000,650000,OK,Khớp PO và GRN
INV-895,PO-2025-101,ITEM-INK,5,6,3,180000,180000,QTY_VARIANCE,ITEM-ITEM-INK billed 5 > received 3
INV-850,PO-2025-107,ITEM-INK,15,16,16,180000,180000,OK,Khớp PO và GRN
INV-850,PO-2025-107,ITEM-MOUSE,18,19,19,114000,120000,OK,Khớp PO và GRN
INV-850,PO-2025-107,ITEM-PAPER,21,19,19,75000,75000,QTY_VARIANCE,ITEM-ITEM-PAPER billed 21 > received 19
INV-793,PO-2025-106,ITEM-MOUSE,13,11,11,120000,120000,QTY_VARIANCE,ITEM-ITEM-MOUSE billed 13 > received 11
INV-827,PO-2025-116,ITEM-MOUSE,21,20,20,120000,120000,QTY_VARIANCE,ITEM-ITEM-MOUSE billed 21 > received 20
INV-721,PO-2025-104,ITEM-PAPER,2,14,14,71250,75000,OK,Khớp PO và GRN
INV-721,PO-2025-104,ITEM-SWITCH8,3,9,9,650000,650000,OK,Khớp PO và GRN
INV-866,PO-2025-121,ITEM-SWITCH8,6,7,7,650000,650000,OK,Khớp PO và GRN
INV-866,PO-2025-121,ITEM-KEYB,9,10,10,220000,220000,OK,Khớp PO và GRN
INV-958,PO-2025-120,ITEM-PAPER,1,16,16,75000,75000,OK,Khớp PO và GRN
INV-958,PO-2025-120,ITEM-INK,12,13,6,180000,180000,QTY_VARIANCE,ITEM-ITEM-INK billed 12 > received 6
INV-743,PO-2025-121,ITEM-KEYB,2,10,10,242000,220000,PRICE_VARIANCE,ITEM-ITEM-KEYB đơn giá hóa đơn > PO 10.00%
INV-985,PO-2025-112,ITEM-MOUSE,11,15,15,120000,120000,OK,Khớp PO và GRN
INV-835,PO-2025-107,ITEM-INK,17,16,16,180000,180000,QTY_VARIANCE,ITEM-ITEM-INK billed 17 > received 16
INV-835,PO-2025-107,ITEM-PAPER,21,19,19,75000,75000,QTY_VARIANCE,ITEM-ITEM-PAPER billed 21 > received 19
INV-835,PO-2025-108,ITEM-SWITCH8,12,12,12,650000,650000,OK,Khớp PO và GRN
INV-952,PO-2025-120,ITEM-SWITCH8,10,18,18,650000,650000,OK,Khớp PO và GRN
INV-952,PO-2025-120,ITEM-INK,11,13,6,180000,180000,QTY_VARIANCE,ITEM-ITEM-INK billed 11 > received 6
INV-775,PO-2025-106,ITEM-MOUSE,5,11,11,120000,120000,OK,Khớp PO và GRN
INV-706,PO-2025-119,ITEM-SWITCH8,4,19,19,617500,650000,DUPLICATE,Trùng lặp dòng (sku: ITEM-SWITCH8) trong cùng hóa đơn INV-706
INV-848,PO-2025-106,ITEM-MOUSE,8,11,11,120000,120000,OK,Khớp PO và GRN
INV-802,PO-2025-103,ITEM-SWITCH8,1,6,6,650000,650000,OK,Khớp PO và GRN
INV-802,PO-2025-103,ITEM-KEYB,14,12,12,220000,220000,QTY_VARIANCE,ITEM-ITEM-KEYB billed 14 > received 12
INV-802,PO-2025-103,ITEM-ROUTER,7,17,20,950000,950000,OK,Khớp PO và GRN
INV-772,PO-2025-102,ITEM-ROUTER,2,7,7,950000,950000,OK,Khớp PO và GRN
INV-757,PO-2025-119,ITEM-SWITCH8,16,19,19,650000,650000,OK,Khớp PO và GRN
INV-781,PO-2025-112,ITEM-MOUSE,7,15,15,120000,120000,OK,Khớp PO và GRN
INV-772,PO-2025-109,ITEM-PAPER,14,14,14,75000,75000,OK,Khớp PO và GRN
INV-772,PO-2025-109,ITEM-MOUSE,11,19,19,120000,120000,OK,Khớp PO và GRN
INV-772,PO-2025-109,ITEM-INK,15,15,10,180000,180000,QTY_VARIANCE,ITEM-ITEM-INK billed 15 > received 10
INV-986,PO-2025-115,ITEM-INK,1,5,3,180000,180000,DUPLICATE,Trùng lặp dòng (sku: ITEM-INK) trong cùng hóa đơn INV-986
INV-706,PO-2025-119,ITEM-SWITCH8,4,19,19,617500,650000,DUPLICATE,Trùng lặp dòng (sku: ITEM-SWITCH8) trong cùng hóa đơn INV-706
